# of Units,Date,Description,Address,Location Type
5,11/26/18 21:17,"Smoke detector activation, no fire - unintentional",1610 N IH 35  ,Multifamily dwellings
1,11/26/18 22:30,Motor vehicle/pedestrian accident (MV Ped),1701  River RD ,"Residential street, road or residential driveway"
1,11/26/18 22:49,Public service,2  Timbercrest  ,1 or 2 family dwelling
1,11/26/18 22:57,"EMS call, excluding vehicle accident with injury",911  Hwy 80  ,Vehicle parking area
1,11/26/18 23:01,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
1,11/27/18 0:53,Water or steam leak,1101 E River Ridge PKWY ,Multifamily dwellings
1,11/27/18 5:29,Dispatched & cancelled en route,1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,11/27/18 7:23,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
1,11/27/18 11:01,"EMS call, excluding vehicle accident with injury",300 S Stagecoach TRL ,Multifamily dwellings
1,11/27/18 11:24,"EMS call, excluding vehicle accident with injury",812 S Guadalupe ST ,"Personal service, including barber & beauty shops"
2,11/27/18 12:36,"EMS call, excluding vehicle accident with injury",1401 E McCarty LN ,Warehouse
1,11/27/18 15:24,"EMS call, excluding vehicle accident with injury",518 S Guadalupe ST ,"Assembly, other"
1,11/27/18 16:25,"EMS call, excluding vehicle accident with injury",1404  Wonder World DR ,Fire station
2,11/27/18 16:29,"EMS call, excluding vehicle accident with injury",1200 N Bishop ST ,"Asylum, mental institution"
2,11/27/18 16:30,"EMS call, excluding vehicle accident with injury",918  Sagewood TRL ,1 or 2 family dwelling
1,11/27/18 20:24,EMS: Dispatched & cancelled en route,1112  Faris ST ,1 or 2 family dwelling
1,11/28/18 8:42,Assist police or other governmental agency,1638  Post RD ,1 or 2 family dwelling
1,11/28/18 9:12,Motor vehicle accident with no injuries,1202 S IH 35  ,Vehicle parking area
1,11/28/18 11:50,Gas leak (natural gas or LPG),308  Camacho ST ,Street or road in commercial area
1,11/28/18 14:59,"EMS call, excluding vehicle accident with injury",1015  Hwy 80  ,"Recreational, hobby, home repair sales, pet store"
1,11/28/18 16:43,Aircraft standby,1807  Airport DR ,Aircraft taxi-way
1,11/28/18 19:13,No incident found on arrival at dispatch address,1818  Old Ranch Road 12  ,Multifamily dwellings
1,11/28/18 19:50,"Public service assistance, other",1951  Hunter RD ,Multifamily dwellings
1,11/28/18 20:01,Rescue or EMS standby,203 S Mitchell AVE ,Multifamily dwellings
1,11/28/18 21:49,"EMS call, excluding vehicle accident with injury",668  Mill ST ,1 or 2 family dwelling
1,11/28/18 22:56,"EMS call, excluding vehicle accident with injury",1703 N IH 35  ,Multifamily dwellings
1,11/29/18 2:15,"EMS call, excluding vehicle accident with injury",316  Perry ST ,1 or 2 family dwelling
1,11/29/18 10:59,"EMS call, excluding vehicle accident with injury",615 N Lbj DR ,"Adult education center, college classroom"
0,11/29/18 11:45,"EMS call, excluding vehicle accident with injury",301  Foxtail RUN ,High school/junior high school/middle school
1,11/29/18 12:55,"Medical assist, assist EMS crew",1301  Hwy 123  ,High school/junior high school/middle school
1,11/29/18 19:35,"EMS call, excluding vehicle accident with injury",700 N LBJ DR ,Restaurant or cafeteria
1,11/29/18 19:37,"Medical assist, assist EMS crew",2250  Clovis Barker RD ,"Reformatory, juvenile detention center"
1,11/29/18 20:51,"EMS call, excluding vehicle accident with injury",301  Foxtail RUN ,High school/junior high school/middle school
1,11/29/18 21:19,Alarm system sounded due to malfunction,3939 S IH 35  ,Department or discount store
1,11/29/18 21:54,Gas leak (natural gas or LPG),701 S LBJ DR ,Multifamily dwellings
1,11/30/18 2:32,Assist police or other governmental agency,2805  Hunter RD ,1 or 2 family dwelling
5,11/30/18 9:06,Building fire - Residential,227 N Mitchell AVE ,1 or 2 family dwelling
1,11/30/18 9:19,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
2,11/30/18 9:48,Assist police or other governmental agency,209  SB  ,Highway or divided highway
1,11/30/18 11:57,"EMS call, excluding vehicle accident with injury",1350  Sadler DR ,Multifamily dwellings
2,11/30/18 12:11,"EMS call, excluding vehicle accident with injury",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,11/30/18 12:34,"EMS call, excluding vehicle accident with injury",809  Jesse TRL ,1 or 2 family dwelling
1,11/30/18 13:26,Citizen complaint,400  Blanco ST ,"Residential street, road or residential driveway"
1,11/30/18 13:43,"EMS call, excluding vehicle accident with injury",1000  Prospect ST ,Specialty shop
2,11/30/18 14:07,Vehicle accident with injuries,  Wonder World DR ,Street or road in commercial area
1,11/30/18 14:18,Gas leak (natural gas or LPG),1920  Nevada ST ,"Residential street, road or residential driveway"
1,11/30/18 14:55,"EMS call, excluding vehicle accident with injury",904  Craddock AVE ,1 or 2 family dwelling
1,11/30/18 16:55,"EMS call, excluding vehicle accident with injury",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,11/30/18 17:40,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
3,11/30/18 17:55,Vehicle accident with injuries,1700 S IH 35  ,Highway or divided highway
1,11/30/18 18:55,"EMS call, excluding vehicle accident with injury",1106 N IH 35  ,Mental retardation/development disability facility
2,11/30/18 20:34,Motor vehicle accident with no injuries,208  NB  ,Highway or divided highway
1,11/30/18 20:38,Motor vehicle accident with no injuries,  Wonder World DR ,Street or road in commercial area
1,11/30/18 23:37,"EMS call, excluding vehicle accident with injury",2  Timbercrest  ,1 or 2 family dwelling
1,12/1/18 6:50,Motor vehicle accident with no injuries, S Guadalupe ST ,Railroad right of way
1,12/1/18 9:56,"EMS call, excluding vehicle accident with injury",  Laredo ST ,"Residential street, road or residential driveway"
2,12/1/18 12:16,Public service,204  SB  ,Highway or divided highway
1,12/1/18 13:48,No incident found on arrival at dispatch address,201  Moore ST ,"Food and beverage sales, grocery store"
1,12/1/18 15:44,"EMS call, excluding vehicle accident with injury",1818  Old Ranch Road 12  ,Multifamily dwellings
1,12/1/18 16:12,"EMS call, excluding vehicle accident with injury",1201  Thorpe LN ,1 or 2 family dwelling
1,12/1/18 20:14,"EMS call, excluding vehicle accident with injury",1321 N IH 35  ,"Hotel/motel, commercial"
1,12/1/18 21:29,"Medical assist, assist EMS crew",1354  Thorpe LN ,Multifamily dwellings
1,12/1/18 22:58,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
1,12/2/18 0:37,"EMS call, excluding vehicle accident with injury",1560 S IH 35  ,"Hotel/motel, commercial"
1,12/2/18 1:25,No incident found on arrival at dispatch address,512  Craddock AVE ,Multifamily dwellings
1,12/2/18 2:01,Smoke detector activation due to malfunction,1350 N LBJ DR ,Multifamily dwellings
1,12/2/18 3:20,"EMS call, excluding vehicle accident with injury",118 N Bishop ST ,1 or 2 family dwelling
1,12/2/18 4:59,"Outside rubbish, trash or waste fire",1015  Hwy 80  ,Open land or field
1,12/2/18 5:24,"EMS call, excluding vehicle accident with injury",1401 E McCarty LN ,"Manufacturing, processing"
1,12/2/18 6:20,"Medical assist, assist EMS crew",503  Uhland RD ,1 or 2 family dwelling
1,12/2/18 8:16,"Medical assist, assist EMS crew",1001  Crepe Myrtle DR ,"24-hour care Nursing homes, 4 or more persons"
3,12/2/18 8:40,"Medical assist, assist EMS crew",1101 E River Ridge PKWY ,Multifamily dwellings
0,12/2/18 10:01,"EMS call, excluding vehicle accident with injury",210  Sageleaf Willow DR ,1 or 2 family dwelling
1,12/2/18 11:10,"Medical assist, assist EMS crew",1106 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
0,12/2/18 14:37,"EMS call, excluding vehicle accident with injury",1050  McKinley Place DR ,Vehicle parking area
3,12/2/18 15:16,Motor vehicle accident with no injuries,208  NB  ,Highway or divided highway
1,12/2/18 17:08,Public service,1249 N LBJ DR ,Multifamily dwellings
1,12/2/18 17:46,Vehicle accident with injuries, E Aquarena Springs DR ,Street or road in commercial area
1,12/2/18 18:00,"EMS call, excluding vehicle accident with injury",801  River RD ,Multifamily dwellings
1,12/2/18 18:08,"Medical assist, assist EMS crew",503  Springtown WAY ,Multifamily dwellings
1,12/2/18 20:58,Removal of victim(s) from stalled elevator,105  Bintu DR ,"Hotel/motel, commercial"
3,12/2/18 23:13,"Smoke scare, odor of smoke",700  Barnes DR ,Department or discount store
1,12/3/18 6:06,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,12/3/18 7:11,"Detector activation, no fire - unintentional",186  Tallow TRL ,1 or 2 family dwelling
1,12/3/18 9:45,"EMS call, excluding vehicle accident with injury",2917  Hunter RD ,Multifamily dwellings
1,12/3/18 11:11,"Medical assist, assist EMS crew",1951  Aquarena Springs DR ,Multifamily dwellings
1,12/3/18 12:32,"EMS call, excluding vehicle accident with injury",100  Concho ST ,"Church, mosque, synagogue, temple, chapel"
3,12/3/18 20:08,No incident found on arrival at dispatch address,705  River RD ,Multifamily dwellings
1,12/4/18 2:00,"EMS call, excluding vehicle accident with injury",1202  Gravel ST ,1 or 2 family dwelling
1,12/4/18 3:18,Sprinkler activation due to malfunction,512  Craddock AVE ,Business office
1,12/4/18 3:57,"Local alarm system, malicious false alarm",1106 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,12/4/18 7:43,Gas leak (natural gas or LPG),  Castle Creek DR ,"Residential street, road or residential driveway"
1,12/4/18 11:43,"EMS call, excluding vehicle accident with injury",102  Willow Springs DR ,Street or road in commercial area
1,12/4/18 11:46,Assist invalid,503  Springtown WAY ,Multifamily dwellings
1,12/4/18 14:51,No incident found on arrival at dispatch address,401  Broadway ST ,Vehicle parking area
1,12/4/18 15:19,"EMS call, excluding vehicle accident with injury",406  Craddock AVE ,1 or 2 family dwelling
1,12/4/18 15:40,"EMS call, excluding vehicle accident with injury",102 N IH 35  ,Restaurant or cafeteria
1,12/4/18 16:56,Vehicle accident with injuries, W San Antonio ST ,"Residential street, road or residential driveway"
6,12/4/18 17:18,No incident found on arrival at dispatch address,525 W Hutchison ST ,1 or 2 family dwelling
1,12/4/18 17:50,Vehicle accident with injuries,204  Moore ST ,Street or road in commercial area
2,12/4/18 18:17,"Chimney or flue fire, confined to chimney or flue",2406  Centerpoint RD ,1 or 2 family dwelling
1,12/4/18 18:53,Water or steam leak,1640  Aquarena Springs DR ,Multifamily dwellings
1,12/4/18 20:37,Assist invalid,600  Leah AVE ,Multifamily dwellings
2,12/4/18 22:34,"Good intent call, other",  Yarrington RD ,Highway or divided highway
1,12/4/18 23:17,Vehicle accident with injuries,  Aquarena Springs DR ,Street or road in commercial area
2,12/5/18 6:41,"Alarm system sounded, no fire - unintentional",900  Barnes DR ,"Hotel/motel, commercial"
1,12/5/18 8:39,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
2,12/5/18 12:17,Motor vehicle accident with no injuries,  Aquarena Springs DR ,Street or road in commercial area
1,12/5/18 12:18,Motor vehicle accident with no injuries,  Craddock AVE ,"Residential street, road or residential driveway"
1,12/5/18 13:07,"EMS call, excluding vehicle accident with injury",314  Riverside DR ,1 or 2 family dwelling
1,12/5/18 13:29,"EMS call, excluding vehicle accident with injury",1400  Clarewood DR ,Multifamily dwellings
3,12/5/18 14:31,Vehicle accident with injuries,210  NB  ,Highway or divided highway
1,12/5/18 14:50,"EMS call, excluding vehicle accident with injury",206  Armstrong ST ,1 or 2 family dwelling
3,12/5/18 17:48,"Electrical  wiring/equipment problem, other", N LBJ DR ,Street or road in commercial area
1,12/5/18 18:57,"EMS call, excluding vehicle accident with injury",328 N LBJ DR ,Restaurant or cafeteria
1,12/5/18 20:14,"Medical assist, assist EMS crew",520 S Guadalupe ST ,1 or 2 family dwelling
1,12/5/18 20:59,"EMS call, excluding vehicle accident with injury",206 N C M Allen PKWY ,"Variable use amusement, recreation places"
1,12/6/18 0:47,Removal of victim(s) from stalled elevator,405 N Edward Gary ST ,"Parking garage, general vehicle"
1,12/6/18 1:03,"EMS call, excluding vehicle accident with injury",1405  Prospect ST ,1 or 2 family dwelling
1,12/6/18 2:20,"Medical assist, assist EMS crew",5985  Centerpoint RD ,"Street, other"
2,12/6/18 7:39,Vehicle accident with injuries,  Wonder World DR ,Street or road in commercial area
2,12/6/18 7:40,Alarm system sounded due to malfunction,1900  Medical PKWY ,"24-hour care Nursing homes, 4 or more persons"
1,12/6/18 8:05,"EMS call, excluding vehicle accident with injury",712 S Stagecoach TRL ,Courthouse
4,12/6/18 10:05,No incident found on arrival at dispatch address,169 S LBJ DR ,Street or road in commercial area
1,12/6/18 10:07,Motor vehicle accident with no injuries,3500  Hwy 21  ,Highway or divided highway
1,12/6/18 11:21,Dispatched & cancelled en route,109  West AVE ,Multifamily dwellings
1,12/6/18 12:46,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
1,12/6/18 15:20,"EMS call, excluding vehicle accident with injury",100 W Woods ST ,Restaurant or cafeteria
1,12/6/18 16:35,Motor vehicle accident with no injuries,204  SB  ,Highway or divided highway
1,12/6/18 16:39,Motor vehicle accident with no injuries,204  SB  ,Highway or divided highway
1,12/6/18 17:54,Vehicle accident with injuries,205  SB  ,Street or road in commercial area
2,12/6/18 19:12,Motor vehicle accident with no injuries,208 W Access RD ,Highway or divided highway
0,12/6/18 19:17,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,Multifamily dwellings
1,12/6/18 19:40,"EMS call, excluding vehicle accident with injury",1920  Los Santos DR ,1 or 2 family dwelling
1,12/6/18 21:39,"EMS call, excluding vehicle accident with injury",908  Meredith ST ,1 or 2 family dwelling
2,12/6/18 22:47,"False alarm or false call, other",917 N IH 35  ,"Hotel/motel, commercial"
1,12/7/18 0:25,Motor vehicle accident with no injuries,  Chestnut ST ,"Residential street, road or residential driveway"
1,12/7/18 0:47,Motor vehicle/pedestrian accident (MV Ped), N LBJ DR ,Highway or divided highway
0,12/7/18 1:03,"Medical assist, assist EMS crew",101  University DR ,Restaurant or cafeteria
2,12/7/18 1:07,Motor vehicle accident with no injuries,204  SB  ,Highway or divided highway
2,12/7/18 1:25,Alarm system sounded due to malfunction,3939 S IH 35  ,Department or discount store
1,12/7/18 1:43,Motor vehicle accident with no injuries,900 N IH 35 ST ,Highway or divided highway
1,12/7/18 3:42,"EMS call, excluding vehicle accident with injury",197  Palermo DR ,1 or 2 family dwelling
2,12/7/18 3:44,Vehicle accident with injuries,  Commercial LP ,Street or road in commercial area
2,12/7/18 6:58,Vehicle accident with injuries,206  SB  ,Highway or divided highway
2,12/7/18 7:37,Public service,1202 W San Antonio ST ,"Residential street, road or residential driveway"
2,12/7/18 9:08,"EMS call, excluding vehicle accident with injury",944  Cheatham ST ,1 or 2 family dwelling
2,12/7/18 10:03,"EMS call, excluding vehicle accident with injury",155  Wonder World DR ,"Clinics, Doctors offices, hemodialysis centers"
1,12/7/18 10:27,"EMS call, excluding vehicle accident with injury",1401 E McCarty LN ,Business office
1,12/7/18 10:54,Lock-out,4321 S IH 35  ,Vehicle parking area
1,12/7/18 11:26,"EMS call, excluding vehicle accident with injury",1113 N IH 35  ,"Food and beverage sales, grocery store"
1,12/7/18 11:29,"EMS call, excluding vehicle accident with injury",1301  Hwy 123  ,High school/junior high school/middle school
1,12/7/18 11:59,"EMS call, excluding vehicle accident with injury",1340  Wonder World DR ,"Clinics, Doctors offices, hemodialysis centers"
